=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.07.23 10:49:06 =~=~=~=~=~=~=~=~=~=~=~=
16
16
16
16
16
16.1
16
16
16
16
16
16.1
16
15.98
19.88
16
16
16
16
16
16
16
16
19.88
16
16
19.83
19.86
16
16
21.16
21.15
21.16
21.15
21.04
21.15
21.04
21.16
21.04
21.16
21.16
16
21.15
21.04
21.15
21.04
21.16
16
16
